cohort,month,at_risk,events,survival,survival_mw_weighted
C13,1,147,0,1.0,1.0
C13,2,147,7,0.9523809523809523,0.9755539177463746
C13,3,140,22,0.8027210884353742,0.8845629363782342
C13,4,118,0,0.8027210884353742,0.8845629363782342
C13,5,118,1,0.7959183673469388,0.8726947539073023
C13,6,117,0,0.7959183673469388,0.8726947539073023
C13,7,117,0,0.7959183673469388,0.8726947539073023
C13,8,117,1,0.7891156462585034,0.8703211174131159
C13,9,116,0,0.7891156462585034,0.8703211174131159
C13,10,116,0,0.7891156462585034,0.8703211174131159
C13,11,116,23,0.6326530612244898,0.6904595241570919
C13,12,93,18,0.5102040816326531,0.5050770897792398
C13,13,75,11,0.43537414965986393,0.404553584250447
C13,14,64,0,0.43537414965986393,0.404553584250447
C13,15,64,0,0.43537414965986393,0.404553584250447
C13,16,64,0,0.43537414965986393,0.404553584250447
C13,17,64,0,0.43537414965986393,0.404553584250447
C13,18,64,0,0.43537414965986393,0.404553584250447
C13,19,64,0,0.43537414965986393,0.404553584250447
C13,20,64,0,0.43537414965986393,0.404553584250447
C13,21,64,0,0.43537414965986393,0.404553584250447
C13,22,64,0,0.43537414965986393,0.404553584250447
C13,23,64,0,0.43537414965986393,0.404553584250447
C13,24,64,0,0.43537414965986393,0.404553584250447
C13,25,64,0,0.43537414965986393,0.404553584250447
C13,26,64,0,0.43537414965986393,0.404553584250447
C13,27,64,0,0.43537414965986393,0.404553584250447
C13,28,64,0,0.43537414965986393,0.404553584250447
C13,29,64,0,0.43537414965986393,0.404553584250447
C13,30,64,0,0.43537414965986393,0.404553584250447
C13,31,64,0,0.43537414965986393,0.404553584250447
C13,32,64,0,0.43537414965986393,0.404553584250447
C13,33,64,0,0.43537414965986393,0.404553584250447
C13,34,64,0,0.43537414965986393,0.404553584250447
C13,35,64,0,0.43537414965986393,0.404553584250447
C13,36,64,1,0.42857142857142855,0.40217994775626065
C13,37,63,2,0.4149659863945578,0.39695794746905066
C13,38,61,0,0.4149659863945578,0.39695794746905066
C13,39,61,0,0.4149659863945578,0.39695794746905066
C13,40,61,0,0.4149659863945578,0.39695794746905066
C13,41,61,0,0.4149659863945578,0.39695794746905066
C13,42,61,0,0.4149659863945578,0.39695794746905066
C13,43,61,1,0.4081632653061224,0.3850897649981188
C13,44,60,1,0.401360544217687,0.3518588540795096
C13,45,59,1,0.39455782312925164,0.3494591075838872
C13,46,58,1,0.38775510204081626,0.3399645616071417
C13,47,57,1,0.3809523809523809,0.33759092511295535
C13,48,56,2,0.3673469387755101,0.32536693453154497
C13,49,54,0,0.3673469387755101,0.32536693453154497
C13,50,54,2,0.3537414965986394,0.3122834501755897
C13,51,52,0,0.3537414965986394,0.3122834501755897
C13,52,52,0,0.3537414965986394,0.3122834501755897
C13,53,52,0,0.3537414965986394,0.3122834501755897
C13,54,52,0,0.3537414965986394,0.3122834501755897
C13,55,52,1,0.346938775510204,0.30990981368140336
C13,56,51,0,0.346938775510204,0.30990981368140336
C13,57,51,0,0.346938775510204,0.30990981368140336
C13,58,51,1,0.34013605442176864,0.2980416312104715
C13,59,50,0,0.34013605442176864,0.2980416312104715
C13,60,50,1,0.33333333333333326,0.2942438128197733
C13,61,49,1,0.3265306122448979,0.28949653983140056
C13,62,48,1,0.3197278911564625,0.2823839380765711
C13,63,47,0,0.3197278911564625,0.2823839380765711
C13,64,47,0,0.3197278911564625,0.2823839380765711
C13,65,47,1,0.3129251700680271,0.2800103015823847
C13,66,46,0,0.3129251700680271,0.2800103015823847
C13,67,46,2,0.2993197278911564,0.27051575560563923
C13,68,44,0,0.2993197278911564,0.27051575560563923
C13,69,44,1,0.292517006802721,0.26102120962889375
C13,70,43,1,0.28571428571428564,0.2557992093416837
C13,71,42,0,0.28571428571428564,0.2557992093416837
C13,72,42,0,0.28571428571428564,0.2557992093416837
C13,73,41,1,0.27874564459930307,0.254598463499987
C13,74,39,0,0.27874564459930307,0.254598463499987
C13,75,39,2,0.26445099615831313,0.24659807756602253
C13,76,37,0,0.26445099615831313,0.24659807756602253
C13,77,37,0,0.26445099615831313,0.24659807756602253
C13,78,0,0,,
C13,79,0,0,,
C13,80,0,0,,
C13,81,0,0,,
C13,82,0,0,,
C13,83,0,0,,
C13,84,0,0,,
C13,85,0,0,,
C13,86,0,0,,
C13,87,0,0,,
C13,88,0,0,,
C13,89,0,0,,
C13,90,0,0,,
C13,91,0,0,,
C13,92,0,0,,
C13,93,0,0,,
C13,94,0,0,,
C13,95,0,0,,
C13,96,0,0,,
C13,97,0,0,,
C13,98,0,0,,
C13,99,0,0,,
C13,100,0,0,,
C13,101,0,0,,
C13,102,0,0,,
C13,103,0,0,,
C13,104,0,0,,
C13,105,0,0,,
C13,106,0,0,,
C13,107,0,0,,
C13,108,0,0,,
C13,109,0,0,,
C13,110,0,0,,
C13,111,0,0,,
C13,112,0,0,,
C13,113,0,0,,
C13,114,0,0,,
C13,115,0,0,,
C13,116,0,0,,
C13,117,0,0,,
C13,118,0,0,,
C13,119,0,0,,
C13,120,0,0,,
C14,0,359,0,1.0,1.0
C14,1,359,0,1.0,1.0
C14,2,359,0,1.0,1.0
C14,3,359,0,1.0,1.0
C14,4,359,8,0.9777158774373259,0.9805125242122887
C14,5,351,11,0.947075208913649,0.9569710489706506
C14,6,340,1,0.9442896935933148,0.9538890834304562
C14,7,339,0,0.9442896935933148,0.9538890834304562
C14,8,339,0,0.9442896935933148,0.9538890834304562
C14,9,339,0,0.9442896935933148,0.9538890834304562
C14,10,339,0,0.9442896935933148,0.9538890834304562
C14,11,339,0,0.9442896935933148,0.9538890834304562
C14,12,339,0,0.9442896935933148,0.9538890834304562
C14,13,339,0,0.9442896935933148,0.9538890834304562
C14,14,339,0,0.9442896935933148,0.9538890834304562
C14,15,339,0,0.9442896935933148,0.9538890834304562
C14,16,339,1,0.9415041782729805,0.9476303226411384
C14,17,338,0,0.9415041782729805,0.9476303226411384
C14,18,338,0,0.9415041782729805,0.9476303226411384
C14,19,338,46,0.8133704735376044,0.8455983997350062
C14,20,292,53,0.6657381615598885,0.7384313456742799
C14,21,239,30,0.5821727019498607,0.6371314057049944
C14,22,209,3,0.5738161559888579,0.6224328008209906
C14,23,206,0,0.5738161559888579,0.6224328008209906
C14,24,206,0,0.5738161559888579,0.6224328008209906
C14,25,206,0,0.5738161559888579,0.6224328008209906
C14,26,206,0,0.5738161559888579,0.6224328008209906
C14,27,206,0,0.5738161559888579,0.6224328008209906
C14,28,206,1,0.5710306406685237,0.6218638225674162
C14,29,205,0,0.5710306406685237,0.6218638225674162
C14,30,205,0,0.5710306406685237,0.6218638225674162
C14,31,205,0,0.5710306406685237,0.6218638225674162
C14,32,205,0,0.5710306406685237,0.6218638225674162
C14,33,205,0,0.5710306406685237,0.6218638225674162
C14,34,205,0,0.5710306406685237,0.6218638225674162
C14,35,205,3,0.5626740947075209,0.6156998914870275
C14,36,202,2,0.5571030640668524,0.6151868627617213
C14,37,200,2,0.5515320334261838,0.6116307486768817
C14,38,198,3,0.5431754874651811,0.5874491728999724
C14,39,195,10,0.5153203342618384,0.5695025556554397
C14,40,185,1,0.5125348189415042,0.5676059614768586
C14,41,184,0,0.5125348189415042,0.5676059614768586
C14,42,184,0,0.5125348189415042,0.5676059614768586
C14,43,184,3,0.5041782729805014,0.5594879807938429
C14,44,181,6,0.48746518105849584,0.542458461664363
C14,45,175,0,0.48746518105849584,0.542458461664363
C14,46,175,0,0.48746518105849584,0.542458461664363
C14,47,175,1,0.4846796657381616,0.5413679200116788
C14,48,174,1,0.48189415041782735,0.5399454743777429
C14,49,173,1,0.4791086350974931,0.5290555150934568
C14,50,172,0,0.4791086350974931,0.5290555150934568
C14,51,172,1,0.4763231197771588,0.5281072180041663
C14,52,171,13,0.44011142061281344,0.46836450137886104
C14,53,158,7,0.4206128133704736,0.45702286819094595
C14,54,151,4,0.4094707520891366,0.44265616728819396
C14,55,147,6,0.392757660167131,0.42653511677025446
C14,56,141,0,0.392757660167131,0.42653511677025446
C14,57,141,1,0.3899721448467967,0.42463852259167334
C14,58,140,3,0.3816155988857939,0.42274951478980655
C14,59,137,2,0.3760445682451254,0.4199994532308639
C14,60,135,9,0.350974930362117,0.3951066546369867
C14,61,126,9,0.32590529247910865,0.3731061621654457
C14,62,117,6,0.30919220055710306,0.35921360980733896
C14,63,111,4,0.298050139275766,0.33598033111972025
C14,64,107,1,0.29526462395543174,0.33360958839649385
C14,65,106,0,0.29526462395543174,0.33360958839649385
C14,66,1,0,,
C14,67,1,0,,
C14,68,1,0,,
C14,69,1,0,,
C14,70,1,0,,
C14,71,1,0,,
C14,72,1,0,,
C14,73,1,0,,
C14,74,1,0,,
C14,75,1,0,,
C14,76,1,0,,
C14,77,1,0,,
C14,78,1,0,,
C14,79,1,0,,
C14,80,1,0,,
C14,81,1,0,,
C14,82,1,0,,
C14,83,1,0,,
C14,84,1,0,,
C14,85,1,0,,
C14,86,1,0,,
C14,87,1,0,,
C14,88,1,0,,
C14,89,1,0,,
C14,90,1,0,,
C14,91,1,0,,
C14,92,1,0,,
C14,93,1,0,,
C14,94,1,0,,
C14,95,1,0,,
C14,96,1,0,,
C14,97,1,0,,
C14,98,1,0,,
C14,99,1,0,,
C14,100,1,0,,
C14,101,1,0,,
C14,102,1,0,,
C14,103,1,0,,
C14,104,1,0,,
C14,105,1,0,,
C14,106,1,0,,
C14,107,1,0,,
C14,108,1,0,,
C14,109,1,0,,
C14,110,1,0,,
C14,111,1,0,,
C14,112,1,0,,
C14,113,1,0,,
C14,114,1,0,,
C14,115,1,0,,
C14,116,1,0,,
C14,117,1,0,,
C14,118,1,0,,
C14,119,1,0,,
C14,120,1,0,,
C15,0,170,0,1.0,1.0
C15,1,170,0,1.0,1.0
C15,2,170,11,0.9352941176470588,0.9171873313392996
C15,3,159,11,0.8705882352941177,0.8324572791183459
