node_key,poi_base,lat,lon,osm_name,geo_score,geo_method
TEHACHAPI CONCEPTUAL,TEHACHAPI CONCEPTUAL SUBSTATION #1,,,,0.47,none
WALNUT,WALNUT SUBSTATION,37.4899763,-120.9059194,Walnut Substation,0.5,ambiguous
MAGUNDEN PASTORIA,MAGUNDEN-PASTORIA,35.1481832,-118.88288514999999,Magunden Substation | Pastoria Substation,1.0,line-midpoint
OTAY MESA,OTAY MESA SWITCHYARD,,,,0.62,none
CONTRA COSTA,CONTRA COSTA SUBSTATION,37.9993561,-121.7824183,Contra Costa Substation,1.0,exact
NORTH GILA HOODOO WASH,NORTH GILA - HOODOO WASH (SDGE PORTION ONLY),32.7456924,-114.4912811,North Gila Substation,0.7,line-one-end
MARTIN,MARTIN,37.7037524,-122.4094087,Martin Substation,1.0,exact
TESLA NEWARK,TESLA-NEWARK #1,37.60643695,-121.7756521,Tesla Substation | Newark Substation,1.0,line-midpoint
LATHROP WELLS,LATHROP WELLS SUBSTATION,,,,0.62,none
PITTSBURG,PITTSBURG,38.0369134,-121.8959532,Pittsburg Substation,1.0,exact
PROPOSED LEE LAKE,PROPOSED LEE LAKE SUBSTATION,,,,0.38,none
PITTSBURG TESLA,PITTSBURG-TESLA,37.87448275,-121.73034525,Pittsburg Substation | Tesla Substation,1.0,line-midpoint
BELLOTA,BELLOTA,38.0157488,-121.0138807,Bellota Substation,1.0,exact
GATES MIDWAY,GATES-MIDWAY,35.77214015,-119.78898035,Gates Substation | Midway Substation,1.0,line-midpoint
BEATTY,BEATTY,,,,0.77,none
SPRINGVILLE,SPRINGVILLE SUBSTATION,36.1079723,-118.9381572,Springville Substation,1.0,exact
BOULEVARD EAST,BOULEVARD EAST SUBSTATION,,,,0.67,none
ETIWANDA,ETIWANDA SUBSTATION,,,,0.62,none
MANDALAY,MANDALAY SWITCHYARD,34.2077559,-119.2468823,Mandalay Switchyard,1.0,exact
EL NIDO,EL NIDO SUBSTATION,,,,0.67,none
SUNCREST OCOTILLO,SUNCREST - OCOTILLO,32.8087648,-116.68306,Suncrest Substation,0.7,line-one-end
LAMBIE,LAMBIE SWITCHING STATION,38.2214947,-121.8669216,Lambie Substation,1.0,exact
RIO OSO,RIO OSO SUBSTATION,38.9351998,-121.4667925,Rio Oso Substation,1.0,exact
VESTAL,VESTAL SUBSTATION,35.8412308,-119.0846351,Vestal Substation,1.0,exact
LITEHIPE,LITEHIPE SUBSTATION,,,,0.82,none
LA CIENEGA,LA CIENEGA SUBSTATION,34.0006667,-118.3784687,La Cienega Substation,1.0,exact
QUINTO FINK,QUINTO SW STA- FINK SW STA,37.26521925,-121.1207559,Quinto Substation | Fink Switching Station,1.0,line-midpoint
RANCHO SECO BELLOTA,RANCHO SECO-BELLOTA #1,38.1799786,-121.06887425,Rancho Seco Substation | Bellota Substation,1.0,line-midpoint
RECTOR,RECTOR SUBSTATION,36.3038123,-119.2451574,Rector Substation,1.0,exact
LATHROP,LATHROP,,,,0.62,none
INNOVATION DESERT VIEW,INNOVATION-DESERT VIEW,36.5822326,-115.9473218,Innovation Substation,0.7,line-one-end
METCALF,METCALF,37.2255899,-121.7439528,Metcalf Substation,1.0,exact
BIRDS LANDING,BIRDS LANDING,38.1247013,-121.8301278,Birds Landing Switching Station,1.0,exact
VIEJO,VIEJO,33.666879,-117.6424464,Viejo Substation,1.0,exact
MUSTANG,MUSTANG SWITCHING STATION,35.3040221,-120.6580681,Mustang Substation (75),1.0,exact
INNOVATION,INNOVATION SUBSTATION,36.5822326,-115.9473218,Innovation Substation,1.0,exact
BITTERWATER,BITTERWATER SW STA,35.124694,-119.298414,"CAISO notice 2026-01-15: Bitterwater 230 kV Sw Sta 35°7'28.90""N 119°17'54.29""W",1.0,override
SCE OWNED ELDORADO,SCE OWNED ELDORADO BUS,,,,0.62,none
GATES TEMPLETON,GATES-TEMPLETON,35.848192999999995,-120.40301410000001,Gates Substation | Templeton,1.0,line-midpoint
ANTELOPE VALLEYSUBSTATION,ANTELOPE VALLEYSUBSTATION,,,,0.48,none
WHEELER RIDGE,WHEELER RIDGE,35.0890917,-118.975825,Wheeler Ridge Substation,1.0,exact
ARCO MIDWAY,ARCO-MIDWAY,35.4029429,-119.4522985,Midway Substation,0.7,line-one-end
WESTLY QUINTO,WESTLY-QUINTO,37.119984,-121.0689671,Quinto Substation,0.7,line-one-end
OCOTILLO,OCOTILLO SWITCHYARD,,,,0.75,none
WEBER,WEBER,,,,0.67,none
ELDORADO,ELDORADO SUBSTATION,35.7973353,-115.0084794,Eldorado Substation,1.0,exact
