@id,@type,@lat,@lon,name,voltage,operator,substation
646210784,way,33.8563931,-117.7683182,Fairmont Substation,69000;12000,Anaheim Public Utilities,distribution
646210785,way,33.8644368,-117.7466407,Park Substation,69000;12000,Anaheim Public Utilities,distribution
647620530,way,34.2046804,-119.0964405,Colonia Substation,66000;16340,Southern California Edison,distribution
647620531,way,34.2207053,-119.0085188,Camarillo Substation,66000;16340,Southern California Edison,distribution
647620534,way,34.2642210,-119.0108704,Somis Substation,66000;16340,Southern California Edison,distribution
647620537,way,34.1460247,-119.0956569,Estero Substation,66000;16340,Southern California Edison,distribution
647620539,way,34.1738042,-119.1567982,Levy Substation,66000;16340,Southern California Edison,distribution
647620541,way,34.2559970,-119.2418562,San Miguel Substation,66000;16340,Southern California Edison,distribution
647620543,way,34.4455733,-119.2421031,Ojai Substation,66000;16340,Southern California Edison,distribution
647620546,way,34.2261528,-119.1758689,Gonzales Substation,66000;16340,Southern California Edison,distribution
649385739,way,34.1038981,-118.4133333,Distributing Station 103 and Franklin Power Plant,34500;4800,Los Angeles Department of Water and Power,distribution
650910489,way,34.2563176,-118.5879118,Distributing Station No. 88,34500;4800,Los Angeles Department of Water and Power,distribution
651565677,way,34.1603234,-118.5006624,LADWP Distributing Station No. 130,34500;4800,Los Angeles Department of Water and Power,distribution
651607143,way,34.1554922,-118.4807909,DISTRIBUTING STATION 83,34500;4800,Los Angeles Department of Water and Power,distribution
652570166,way,33.7878506,-118.3002889,DISTRIBUTING STATION 123,34500;4800,Los Angeles Department of Water and Power,distribution
652587979,way,33.9482030,-118.3936038,DISTRIBUTING STATION 111,34500;4800,Los Angeles Department of Water and Power,distribution
652987427,way,34.1673110,-118.5886539,LADWP Distributing Station No. 792,34500;4800,Los Angeles Department of Water and Power,distribution
652987577,way,34.1867938,-118.6110657,Distributing Station 136,34500;4800,Los Angeles Department of Water and Power,distribution
652988454,way,34.1665332,-118.6229606,DISTRIBUTING STATION 129,34500;4800,,distribution
652988948,way,34.1240406,-118.3753331,LADWP Distributing Station No. 115,34500;4800,Los Angeles Department of Water and Power,distribution
652989655,way,34.1879727,-118.6433490,Distributing Station 77,34500;4800,Los Angeles Department of Water and Power,distribution
652990445,way,34.2018045,-118.4591518,DISTRIBUTING STATION 81,34500;4800,Los Angeles Department of Water and Power,distribution
652994774,way,34.1944645,-118.4394308,DISTRIBUTING STATION 140,34500;4800,Los Angeles Department of Water and Power,distribution
652995460,way,34.2349933,-118.4512208,Distributing Station 133,34500;4800,Los Angeles Department of Water and Power,distribution
652996554,way,34.1318467,-118.4399443,DISTRIBUTING STATION 124,34500;4800,Los Angeles Department of Water and Power,distribution
652998332,way,34.1706697,-118.3959259,DISTRIBUTING STATION 57,34500;4800,Los Angeles Department of Water and Power,distribution
655138668,way,34.1601231,-118.5525282,LADWP Distributing Station No. 91,34500;4800,Los Angeles Department of Water and Power,distribution
655138771,way,34.1723551,-118.5528987,DISTRIBUTING STATION 65,34500;4800,Los Angeles Department of Water and Power,distribution
655138860,way,34.3121338,-118.4242614,LADWP Distributing Station 96,34500;4800,Los Angeles Department of Water and Power,distribution
655139036,way,34.3078152,-118.4505674,Distributing Station 107,34500;4800,Los Angeles Department of Water and Power,distribution
